,date,perpetual,future,basis,annual_basis,fear,Volatility,Unnamed: 0,Date,fundingRate,accumulation_funding_rate
31,2020-10-14,11410.6,11733.9333333333,2.83362253810785,6.34522838287953,53,4.86081584831282,65,2020-10-14,0.0003,0.1665222399999979
32,2020-10-15,11493.2666666667,11871.2,3.2883021363233,7.4088288873951,56,3.97450655012118,66,2020-10-15,0.0003,0.16622223999999788
33,2020-10-16,11321.6333333333,11635.2333333333,2.76991835689195,6.27962857307803,52,6.40270124318308,67,2020-10-16,0.0003,0.1659222399999979
34,2020-10-17,11351.0333333333,11672.3,2.83028564212951,6.45658912110795,56,2.15630050691476,68,2020-10-17,0.0003,0.1656222399999979
35,2020-10-18,11488.4,11836.0666666667,3.02624096189779,6.94703113894776,55,2.25580379204487,69,2020-10-18,0.0003,0.1653222399999979
36,2020-10-19,11729.7333333333,12075.4666666667,2.94749525422575,6.80908713792657,55,4.91664552561765,70,2020-10-19,0.0003,0.1650222399999979
37,2020-10-20,11909.5,12274.3666666667,3.0636606630561,7.12252319755082,56,3.73202377432968,71,2020-10-20,0.00018044,0.1647222399999979
38,2020-10-21,12883.4333333333,13332.7,3.48716568823526,8.15907356542225,61,11.1279703982796,72,2020-10-21,0.0003,0.1645417999999979
39,2020-10-22,12934.1333333333,13327.4,3.04053357524278,7.15996616105558,73,6.34515319958108,73,2020-10-22,0.00036377,0.1642417999999979
40,2020-10-23,12918.2,13318.8333333333,3.10130926393255,7.35050572295702,74,4.56394724876712,74,2020-10-23,0.00051351,0.16387802999999793
41,2020-10-24,13066.0666666667,13501.0,3.32872427815564,7.94107425834515,73,3.75099434111198,75,2020-10-24,0.0005246,0.16336451999999793
42,2020-10-25,12998.9333333333,13441.8666666667,3.407459073565,8.18238527533702,76,8.48200323062478,76,2020-10-25,0.0003,0.16283991999999792
43,2020-10-26,13024.4333333333,13446.7333333333,3.2423675502197,7.83751096576284,75,6.51383644469433,77,2020-10-26,0.0003,0.16253991999999792
44,2020-10-27,13622.3,14110.7,3.58529763696291,8.72422424994307,61,6.52714590539746,78,2020-10-27,0.00010645,0.16223991999999793
45,2020-10-28,13213.2666666667,13596.7,2.90188144238872,7.10863574813344,70,7.77611933715399,79,2020-10-28,0.0002012,0.16213346999999795
46,2020-10-29,13389.9666666667,13788.3,2.9748642640385,7.33665848901387,67,7.15867076519135,80,2020-10-29,0.00027936,0.16193226999999794
47,2020-10-30,13502.1333333333,13890.0,2.87263247289317,7.13272688847625,74,7.43883564875261,81,2020-10-30,0.00022645,0.16165290999999793
48,2020-10-31,13687.9333333333,14103.7,3.03746852458855,7.59367131147138,73,6.98346734991554,82,2020-10-31,0.0003,0.16142645999999794
49,2020-11-01,13611.7,14020.6666666667,3.00452306961413,7.56310979592523,72,3.67230672792172,83,2020-11-01,0.0003,0.16112645999999792
50,2020-11-02,13408.0333333333,13819.5333333333,3.06905561591187,7.77920347088772,71,7.52877553815881,84,2020-11-02,0.00025398,0.16082645999999792
51,2020-11-03,13867.5666666667,14313.4,3.21493556908566,8.20595442458928,71,7.82870106602658,85,2020-11-03,0.0003,0.16057247999999794
52,2020-11-04,14000.3,14461.9666666667,3.29754838586792,8.47609268198444,74,8.17923533690746,86,2020-11-04,0.0003,0.16027247999999794
53,2020-11-05,15541.1333333333,16061.6,3.3489621091555,8.66929907689191,72,8.88548363535356,87,2020-11-05,0.0003,0.15997247999999792
54,2020-11-06,15560.8,16034.2,3.0422600380443,7.93160652775836,90,9.52136353023215,88,2020-11-06,0.00114718,0.15967247999999792
55,2020-11-07,14834.2,15398.3333333333,3.80292387411071,9.98609506511086,88,9.0550080433245,89,2020-11-07,0.00094749,0.15852529999999795
56,2020-11-08,15456.6666666667,15933.5666666667,3.08540004313133,8.1606595343691,82,7.50323957176841,90,2020-11-08,0.00034072,0.15757780999999793
57,2020-11-09,15268.4666666667,15706.4333333333,2.86843909233409,7.64219174234996,90,10.87887518715,91,2020-11-09,0.00053998,0.15723708999999794
58,2020-11-10,15221.7666666667,15682.2666666667,3.02527301911957,8.11929891160768,90,5.38069952004294,92,2020-11-10,0.0003,0.15669710999999795
59,2020-11-11,15617.7,16092.8666666667,3.042488117115,8.22598639071834,86,5.51118759014056,93,2020-11-11,0.0006502599999999,0.15639710999999792
60,2020-11-12,16190.4,16647.7666666667,2.82492505847086,7.69475855479004,87,6.82668827493272,94,2020-11-12,0.00068152,0.15574684999999802
61,2020-11-13,16194.8,16657.5333333333,2.85729575748593,7.8414507630253,89,5.70437134724577,95,2020-11-13,0.00031124,0.15506532999999803
62,2020-11-14,15959.9,16337.6333333333,2.36676503821035,6.54446393141498,90,5.89759868561425,96,2020-11-14,0.00027909,0.15475408999999804
63,2020-11-15,15827.3666666667,16247.3,2.65321036769646,7.39253270388709,86,4.51087760225927,97,2020-11-15,0.0003,0.15447499999999803
64,2020-11-16,16639.8333333333,17056.5333333333,2.50423181321929,7.03111239865415,90,5.52064963046904,98,2020-11-16,0.0004514099999999,0.15417499999999804
65,2020-11-17,17554.3,18000.7333333333,2.54315656752667,7.19575307866073,86,8.97739620421843,99,2020-11-17,0.00047897,0.15372358999999813
66,2020-11-18,17602.4,18067.7333333333,2.64357890590676,7.53833047387475,91,16.1406231655084,100,2020-11-18,0.00072394,0.15324461999999814
67,2020-11-19,17742.4666666667,18106.4333333333,2.05138706756293,5.89571873748401,94,8.7965898628194,101,2020-11-19,0.00079267,0.15252067999999813
68,2020-11-20,18607.1333333333,19019.8,2.21778744352523,6.42454299116436,86,7.01593209254342,102,2020-11-20,0.00149206,0.1517280099999981
69,2020-11-21,18566.3,19044.5,2.57563434825464,7.52085229690354,91,6.64190331350166,103,2020-11-21,0.00120455,0.1502359499999981
70,2020-11-22,18450.0666666667,18885.5666666667,2.36042507524815,6.94802542310947,94,8.38115062491391,104,2020-11-22,0.0021681599999999,0.1490313999999981
71,2020-11-23,18322.0,18820.3333333333,2.71986318815271,8.07113872907105,90,7.20768731223419,105,2020-11-23,0.0014892599999999,0.1468632399999982
72,2020-11-24,19127.7666666667,19732.1666666667,3.1598043333165,9.4535129644305,88,9.11235782160733,106,2020-11-24,0.00155722,0.1453739799999983
73,2020-11-25,18632.0666666667,19170.3,2.88874735670761,8.71398996031635,94,8.02473169546845,107,2020-11-25,0.0012526899999999,0.1438167599999983
74,2020-11-26,17082.3666666667,17547.5333333333,2.72308091579817,8.28270445221943,93,23.8258820409734,108,2020-11-26,0.0003,0.14256406999999838
75,2020-11-27,17087.2,17585.1666666667,2.91426720976326,8.9387187526352,86,10.8466193486636,109,2020-11-27,0.0003,0.14226406999999838
76,2020-11-28,17726.4666666667,18186.0333333333,2.59254523368075,8.01931364655485,87,7.0162157359914,110,2020-11-28,0.0003,0.1419640699999984
77,2020-11-29,18176.7666666667,18659.0333333333,2.65320381512666,8.27708882496777,89,7.10813168594844,111,2020-11-29,0.0003,0.14166406999999837
78,2020-11-30,19633.1,20274.4,3.2664225211505,10.2779674156891,88,10.5262261723932,112,2020-11-30,0.00133265,0.14136406999999837
79,2020-12-01,18809.4333333333,19369.6333333333,2.97829280697806,9.45284238736516,95,17.7599239075531,113,2020-12-01,0.00085917,0.14003141999999838
80,2020-12-02,19188.9333333333,19755.7333333333,2.95378586268474,9.45729684105201,92,9.07230751744457,114,2020-12-02,0.0003,0.13917224999999836
81,2020-12-03,19459.3,20002.2,2.78992563966844,9.01170671220338,92,6.96295568984088,115,2020-12-03,0.00043541,0.13887224999999837
82,2020-12-04,18697.9,19171.5666666667,2.53326131098502,8.25571766526368,92,7.42947055998674,116,2020-12-04,0.0003,0.13843683999999837
83,2020-12-05,19114.9666666667,19651.3666666667,2.80617805593874,9.22752243619496,93,3.9906963260987,117,2020-12-05,0.0003,0.13813683999999837
84,2020-12-06,19305.0666666667,19888.2333333333,3.02079592231399,10.0235501058601,95,5.1363588147789,118,2020-12-06,0.0003,0.13783683999999835
85,2020-12-07,19156.2666666667,19729.5666666667,2.99275432930564,10.0216085339134,94,4.57882466231699,119,2020-12-07,0.0003,0.13753683999999836
86,2020-12-08,18314.1,18828.1,2.80658072195738,9.48520336587447,95,7.55745945197079,120,2020-12-08,0.0003,0.13723683999999836
87,2020-12-09,18563.7,19060.6,2.67672931581526,9.13089906796795,86,8.00523993061741,121,2020-12-09,0.0003,0.13693683999999837
88,2020-12-10,18287.7,18751.9333333333,2.53850037639142,8.74106261681951,94,5.06705316315637,122,2020-12-10,0.0003,0.13663683999999837
89,2020-12-11,18064.9333333333,18485.4666666667,2.32789861757952,8.09221900396691,89,7.05173036571388,123,2020-12-11,0.0003,0.13633683999999835
90,2020-12-12,18820.1333333333,19330.7666666667,2.71322909508256,9.52239057408783,90,4.59678213653993,124,2020-12-12,0.00014844,0.13603683999999835
91,2020-12-13,19170.1333333333,19834.3333333333,3.4647646338749,12.2780494307217,91,5.71212940686471,125,2020-12-13,0.00038665,0.13588839999999835
92,2020-12-14,19288.6666666667,19983.0,3.59969584903051,12.8812645578053,95,4.79461739091208,126,2020-12-14,0.0003,0.13550174999999837
93,2020-12-15,19411.5,20092.3666666667,3.50754277962379,12.6757734115117,91,5.51719544109706,127,2020-12-15,0.0003,0.13520174999999837
94,2020-12-16,21364.6333333333,22337.3,4.55269534230245,16.617337999404,92,10.231200798735,128,2020-12-16,0.00093753,0.13490174999999838
95,2020-12-17,22793.3333333333,23892.1333333333,4.82070780930098,17.7733166706551,92,14.3183803874542,129,2020-12-17,0.00085643,0.13396421999999836
96,2020-12-18,23056.0666666667,24218.5666666667,5.04205689897959,18.7790894706893,95,8.09847586231215,130,2020-12-18,0.00159503,0.13310778999999837
97,2020-12-19,23824.8666666667,25072.8666666667,5.23822448813984,19.7108447234128,93,7.78043973874424,131,2020-12-19,0.0012190299999999,0.13151275999999837
98,2020-12-20,23505.4666666667,24681.1,5.00153155861617,19.0162397801552,92,9.66979652305893,132,2020-12-20,0.00109349,0.13029372999999847
99,2020-12-21,22880.7,23779.1333333333,3.92659898225723,15.0864066160409,92,16.2465678444771,133,2020-12-21,0.00074325,0.1292002399999985
100,2020-12-22,23766.3333333333,24802.7666666667,4.3609307283412,16.9334012323887,88,7.99802964005494,134,2020-12-22,0.00043733,0.12845698999999847
101,2020-12-23,23283.4666666667,24182.3666666667,3.86067939482095,15.1521288076306,93,11.1771692726511,135,2020-12-23,0.0008776599999999,0.12801965999999845
102,2020-12-24,23719.9666666667,24720.4,4.217684398095,16.7332044054856,86,6.95532895213532,136,2020-12-24,0.0004259,0.12714199999999856
103,2020-12-25,24672.0,25771.6333333333,4.4570092952875,17.877015305274,94,9.40482032078639,137,2020-12-25,0.00122018,0.12671609999999858
104,2020-12-26,26504.9333333333,27756.5,4.72201401500098,19.1503901719484,93,10.0089508022268,138,2020-12-26,0.0016616,0.12549591999999857
105,2020-12-27,26414.8,27692.9,4.83857534412526,19.8435955124238,91,15.0562038367876,139,2020-12-27,0.0022486999999999,0.12383431999999857
106,2020-12-28,27024.5,28114.7,4.03411718995726,16.7324178901636,92,9.52106896177295,140,2020-12-28,0.00138866,0.12158561999999867
107,2020-12-29,27249.2333333333,28339.8,4.00219211060372,16.7908059812685,91,8.46784525434983,141,2020-12-29,0.00071174,0.12019695999999867
108,2020-12-30,28807.2,29940.8,3.9351273292788,16.7014125021716,91,9.78876605873439,142,2020-12-30,0.0015130599999999,0.11948521999999867
109,2020-12-31,28935.0333333333,29866.2666666667,3.21835928994954,13.820013421548,95,10.3275560537846,143,2020-12-31,0.0005046299999999,0.11797215999999877
110,2021-01-01,29305.5,30254.9666666667,3.23989239790027,14.0781038718286,94,6.15993524875956,144,2021-01-01,0.0003,0.11746752999999888
111,2021-01-02,31980.4333333333,33299.8333333333,4.12564766164311,18.1429083915631,94,21.9696818073922,145,2021-01-02,0.00281761,0.11716752999999887
112,2021-01-03,33093.1333333333,34709.1666666667,4.88328898039271,21.7365911932114,93,15.1569701409914,146,2021-01-03,0.0024314,0.11434991999999888
113,2021-01-04,31731.1,32987.9666666667,3.96099305308251,17.848919313273,94,26.1942164567996,147,2021-01-04,0.00195435,0.1119185199999989
114,2021-01-05,33952.9666666667,35411.6,4.29604089578819,19.6006865870336,93,16.6915550046625,148,2021-01-05,0.00100408,0.1099641699999989
115,2021-01-06,36551.9333333333,38072.9666666667,4.16129379385315,19.2262308197013,95,15.6575135003815,149,2021-01-06,0.0026195399999999,0.1089600899999989
116,2021-01-07,39224.2666666667,40873.8,4.20538986069846,19.6790679378838,91,14.2308106892158,150,2021-01-07,0.0022750599999999,0.10634054999999899
117,2021-01-08,40673.5666666667,42230.9333333333,3.82894049943984,18.1501724973447,93,23.0448429844252,151,2021-01-08,0.00193589,0.1040654899999991
118,2021-01-09,40106.9666666667,41889.0333333333,4.44328458314391,21.3394588532569,93,11.9376650378771,152,2021-01-09,0.00081007,0.10212959999999909
119,2021-01-10,38265.1666666667,39693.9333333333,3.73385716339052,18.1714381951672,94,19.4759607610391,153,2021-01-10,0.0015463,0.10131952999999908
120,2021-01-11,35142.9,36587.3,4.11007628852488,20.2726735852916,90,36.4628192473284,154,2021-01-11,0.00268252,0.09977322999999906
121,2021-01-12,33844.6333333333,35152.6333333333,3.86471907412204,19.3235953706102,84,21.4648618441828,155,2021-01-12,0.00089758,0.09709070999999907
122,2021-01-13,37317.0666666667,38729.4,3.78468475550062,19.1862491077462,78,15.4917608711737,156,2021-01-13,0.00068052,0.09619312999999906
123,2021-01-14,39076.1333333333,40521.3,3.69833589812707,19.0125718706532,83,12.8641382805124,157,2021-01-14,0.00170752,0.09551260999999905
124,2021-01-15,36679.2666666667,37918.7,3.37911154167023,17.619653038709,88,15.921629352675,158,2021-01-15,0.00151201,0.09380508999999906
125,2021-01-16,36123.4333333333,37459.1333333333,3.69759980363625,19.5597670772062,84,13.3023687762014,159,2021-01-16,0.00091492,0.09229307999999906
126,2021-01-17,35967.7333333333,37347.5,3.83612348846002,20.5909569601163,79,13.9189686100265,160,2021-01-17,0.0009230099999999,0.09137815999999906
127,2021-01-18,36558.4,38065.7666666667,4.12317461012151,22.4620706372291,79,13.1347312456779,161,2021-01-18,0.00166549,0.09045514999999915
128,2021-01-19,36155.2333333333,37432.5666666667,3.53291409173592,19.5380855073274,80,10.4085209340834,162,2021-01-19,0.00195882,0.08878965999999916
129,2021-01-20,35313.9666666667,36553.1,3.50890440892602,19.7038478347384,78,13.571299570229,163,2021-01-20,0.0003,0.08683083999999916
130,2021-01-21,31004.7666666667,31721.2333333333,2.31082747491515,13.1789379428755,75,19.286500147377,164,2021-01-21,0.00043968,0.08653083999999917
131,2021-01-22,32914.5333333333,33866.3,2.89163044490984,16.7530970220967,40,15.7741444972795,165,2021-01-22,0.0003,0.08609115999999918
132,2021-01-23,32005.7666666667,32994.7666666667,3.09006814396991,18.1915302024035,74,9.38613921135388,166,2021-01-23,0.0003,0.08579115999999917
133,2021-01-24,32215.1,33175.6666666667,2.98172803023012,17.8414873939999,70,10.2259986564894,167,2021-01-24,0.00042178,0.08549115999999919
134,2021-01-25,32370.9333333333,33221.2,2.62663624156653,15.9787038028631,74,14.1206567498696,168,2021-01-25,0.00085899,0.0850693799999992
135,2021-01-26,32622.5,33413.5666666667,2.42491123202289,15.0015694862433,71,14.2838333751059,169,2021-01-26,0.00029006,0.08421038999999919
136,2021-01-27,30382.7,30892.3333333333,1.67738000024136,10.5559258635879,78,18.5483717260742,170,2021-01-27,0.0002055,0.08392032999999918
137,2021-01-28,33365.5,34002.0,1.90765910895985,12.2157118380763,55,8.3251872472563,171,2021-01-28,0.00011445,0.08371482999999919
138,2021-01-29,34202.6333333333,35035.1333333333,2.43402311128093,15.8646149217418,77,35.7537380102208,172,2021-01-29,0.00139822,0.08360037999999918
139,2021-01-30,34330.8333333333,35031.3,2.04034274340363,13.5404563880422,76,11.3272799950899,173,2021-01-30,0.0003,0.08220215999999919
140,2021-01-31,33097.2333333333,33670.8333333333,1.73307537286601,11.7143057610387,78,9.10342972821111,174,2021-01-31,0.0003,0.08190215999999918
