,date,long_change,long
4090,2020-03-16,-19936.3278627228,13166590.44889287
4091,2020-03-17,-21192.394821230322,13145500.92867812
4092,2020-03-18,-22446.840554919094,13146682.18646664
4093,2020-03-19,-23957.56547380984,13143627.95235925
4094,2020-03-20,-24622.549824113026,13139832.517689649
4095,2020-03-21,-24270.293315595016,13142076.830478989
4096,2020-03-22,-23793.517345976084,13153965.65682607
4097,2020-03-23,-22687.55813331157,13220845.98300722
4098,2020-03-24,-21779.82008267939,13245687.532151211
4099,2020-03-25,-19140.200909482315,13238193.691279663
4100,2020-03-26,-16104.444751055911,13241439.09801213
4101,2020-03-27,-12893.092099882662,13242341.413696121
4102,2020-03-28,-9446.483321283013,13250067.483298672
4103,2020-03-29,-6199.575518468395,13248093.4565937
4104,2020-03-30,-3469.3868919108063,13243544.659111513
4105,2020-03-31,-976.219941271469,13246257.00617164
4106,2020-04-01,1734.3798913750798,13248046.801798692
4107,2020-04-02,5423.827168419957,13244841.498744689
4108,2020-04-03,4917.435042381287,13244133.52868306
4109,2020-04-04,4800.548357566819,13249493.350871008
4110,2020-04-05,5006.401533903554,13268964.63928889
4111,2020-04-06,4339.557075383142,13270596.83867794
4112,2020-04-07,1994.3075133804232,13261664.10897187
4113,2020-04-08,13.430926006287336,13262585.528368982
4114,2020-04-09,-1929.8756744358689,13254682.530667398
4115,2020-04-10,-4023.0062090866268,13251683.879333168
4116,2020-04-11,-4092.542364144698,13255519.56310531
4117,2020-04-12,-2597.9337781276554,13268540.828852799
4118,2020-04-13,-838.3545222263783,13271720.127402581
4119,2020-04-14,964.3739762492478,13276506.346964149
4120,2020-04-15,3270.620127765462,13283265.29770514
4121,2020-04-16,6367.229577872902,13279074.39741248
4122,2020-04-17,9374.842613412067,13272942.607312921
4123,2020-04-18,12856.733213545755,13288121.866922531
4124,2020-04-19,16399.621128588915,13292741.59414012
4125,2020-04-20,19390.364098729566,13292152.902867401
4126,2020-04-21,22456.963282186538,13317918.43328797
4127,2020-04-22,23479.813222421333,13317616.81345138
4128,2020-04-23,23946.983910014853,13317558.11032198
4129,2020-04-24,24724.773414779454,13318258.65458492
4130,2020-04-25,25718.274532034993,13342830.9218407
4131,2020-04-26,26770.1818947196,13349403.13459229
4132,2020-04-27,27576.858394229785,13351884.150889792
4133,2020-04-28,28317.461569514126,13352607.551325072
4134,2020-04-29,29454.353784946725,13354320.264718471
4135,2020-04-30,30443.272911388427,13343205.5534809
4136,2020-05-01,31676.612272925675,13342569.91692451
4137,2020-05-02,32886.88075444847,13346018.15031516
4138,2020-05-03,36099.275553073734,13367640.750954961
4139,2020-05-04,39191.71913252212,13380310.50566262
4140,2020-05-05,41645.59059001878,13380034.562994532
4141,2020-05-06,43843.75896833092,13363435.18523239
4142,2020-05-07,45389.079633738846,13304566.46014631
4143,2020-05-08,46381.35361620039,13282883.08511222
4144,2020-05-09,47416.48751895875,13275057.154020552
4145,2020-05-10,48515.058799942955,13278157.09776422
4146,2020-05-11,48497.565091969445,13277324.51674455
4147,2020-05-12,47472.394599769264,13283518.24580577
4148,2020-05-13,46345.68583704531,13295002.301807912
4149,2020-05-14,44985.624767478555,13292443.71415273
4150,2020-05-15,43006.2918870803,13281180.17369374
4151,2020-05-16,41137.73208470456,13300534.27800396
4152,2020-05-17,39809.419497324154,13319504.272916412
4153,2020-05-18,38170.99414176121,13334310.26015211
4154,2020-05-19,36748.24734854326,13360285.862997562
4155,2020-05-20,35672.48132438399,13377683.01380614
4156,2020-05-21,34091.25466134213,13386997.609967541
4157,2020-05-22,34558.34686854854,13442413.176327739
4158,2020-05-23,35593.653273869306,13451547.072812371
4159,2020-05-24,36559.669919455424,13456284.616625162
4160,2020-05-25,37102.72284333594,13476805.921101969
4161,2020-05-26,37516.10154678486,13481267.577695249
4162,2020-05-27,38222.45259241946,13496081.88121929
4163,2020-05-28,38848.33457212895,13494674.564838948
4164,2020-05-29,39206.074965642765,13486560.29393635
4165,2020-05-30,40046.829063527286,13490599.346663304
4166,2020-05-31,40931.93952930346,13490199.659997072
4167,2020-06-01,40976.87833932601,13449891.13048677
4168,2020-06-02,40296.84461095929,13450345.94952473
4169,2020-06-03,39273.93500594422,13449753.084153458
4170,2020-06-04,38450.49326629937,13441697.982321352
4171,2020-06-05,38174.45382917859,13439711.165559562
4172,2020-06-06,39735.68567849696,13441142.722279977
4173,2020-06-07,42383.478340247646,13462048.2015606
4174,2020-06-08,44877.49492054619,13445072.772191409
4175,2020-06-09,47243.52480117977,13446592.109033339
4176,2020-06-10,49616.79214800708,13441525.511193339
4177,2020-06-11,51971.10129857436,13439754.21179314
4178,2020-06-12,54007.28202973679,13440455.320083091
4179,2020-06-13,56294.65311127715,13445623.34623367
4180,2020-06-14,59076.32346892916,13445995.27114135
4181,2020-06-15,61149.884134702384,13446407.798541818
4182,2020-06-16,62590.200773464516,13452484.93684582
4183,2020-06-17,63946.16114556417,13461856.275707118
4184,2020-06-18,64487.56394279003,13460314.29968876
4185,2020-06-19,64504.493287986144,13464228.88545658
4186,2020-06-20,64691.66942163929,13467307.354666457
4187,2020-06-21,63056.68807993457,13469110.6587017
4188,2020-06-22,61088.3259107545,13467434.30515198
4189,2020-06-23,58920.90838674456,13464265.52722469
4190,2020-06-24,56149.57184925862,13444500.728114072
4191,2020-06-25,53367.88662838936,13446230.907546118
4192,2020-06-26,50127.12713045813,13445834.041673299
4193,2020-06-27,46981.04020157643,13447976.362619732
4194,2020-06-28,44137.06568444148,13448161.852126323
4195,2020-06-29,40871.6997539904,13442071.184018523
4196,2020-06-30,37687.671531584114,13446787.709725268
4197,2020-07-01,35881.14157550782,13445372.313293688
4198,2020-07-02,34417.599445926026,13445238.62031946
4199,2020-07-03,33208.803058452904,13446667.87939604
4200,2020-07-04,32410.21352216974,13455446.029471241
4201,2020-07-05,31635.753536568955,13469519.54675059
4202,2020-07-06,29908.88020556979,13474106.584553719
4203,2020-07-07,27113.89819029346,13473514.397092469
4204,2020-07-08,24458.157893249765,13455743.97253969
4205,2020-07-09,21764.991431105882,13453437.132573828
4206,2020-07-10,19281.824220338836,13456736.472995931
4207,2020-07-11,17008.392073381692,13459584.24896323
4208,2020-07-12,15005.692264484242,13465746.34982424
4209,2020-07-13,12877.869045883417,13471133.585198592
