time,perpetual,future,high.x,low.x,close.x,volume.x,volCcy,date.x,X.y,open.y,high.y,low.y,close.y,volume.y,currency_volume,price,date.y,basis,value
2020-09-14 05:00:00,10690,10344,10355.2,10316.4,10337.7,1527.04523156,15787505.04246225,2020-09-14 05:00:00,5008,10530.4,10540.7,10498.4,10520.2,10170,101.7,10519.766666666666,2020-09-14 05:00:00,-3.23666978484565,-3.23666978484565
2020-09-14 06:00:00,10689,10337.7,10367.2,10337.7,10359.9,975.78157722,10103703.29913716,2020-09-14 06:00:00,5007,10522.9,10556.3,10522.9,10544.4,10015,100.15,10541.199999999999,2020-09-14 06:00:00,-3.2865562728038102,-3.2865562728038102
2020-09-14 07:00:00,10688,10359.8,10401.2,10348.1,10398.7,635.76559447,6592688.48624443,2020-09-14 07:00:00,5006,10548,10588.7,10532.3,10584.7,8269,82.69,10568.566666666668,2020-09-14 07:00:00,-3.0707335329341388,-3.0707335329341388
2020-09-14 08:00:00,10687,10398,10452.9,10329.5,10358.2,1659.80320158,17261857.65774393,2020-09-14 08:00:00,5005,10585,10645.6,10535.2,10538.2,27105,271.05,10573.000000000002,2020-09-14 08:00:00,-2.7042200804716012,-2.7042200804716012
2020-09-14 09:00:00,10686,10358.8,10366.7,10324.5,10366.2,1203.90413004,12458921.94799988,2020-09-14 09:00:00,5004,10541.5,10548.9,10504.2,10540.1,13844,138.44,10531.066666666666,2020-09-14 09:00:00,-3.0619502152348934,-3.0619502152348934
2020-09-14 10:00:00,10685,10366.6,10429.3,10365.1,10413.3,1513.91612557,15735603.16624124,2020-09-14 10:00:00,5003,10542,10630.5,10538.9,10587.9,10878,108.78,10585.766666666668,2020-09-14 10:00:00,-2.9798783341132395,-2.9798783341132395
2020-09-14 11:00:00,10684,10413.3,10477.6,10398,10468.6,1357.0997324,14163464.71584869,2020-09-14 11:00:00,5002,10588.7,10680,10570.4,10637.7,14188,141.88,10629.366666666667,2020-09-14 11:00:00,-2.5336952452265136,-2.5336952452265136
2020-09-14 12:00:00,10683,10469.1,10517.9,10450.2,10503.8,1493.86904459,15649777.78923675,2020-09-14 12:00:00,5001,10639.2,10697.5,10624.8,10680.5,32233,322.33,10667.6,2020-09-14 12:00:00,-2.0022465599550654,-2.0022465599550654
2020-09-14 13:00:00,10682,10503.9,10661.1,10503.8,10641.3,2139.7324939,22666699.97501818,2020-09-14 13:00:00,5000,10682,10854.9,10677.6,10832.9,47484,474.84,10788.466666666667,2020-09-14 13:00:00,-1.66729076951882,-1.66729076951882
2020-09-14 14:00:00,10681,10641.3,10687.2,10594.7,10629,1334.6659123,14202369.5793073,2020-09-14 14:00:00,4999,10832,10886.9,10793.2,10833.7,22941,229.41,10837.933333333332,2020-09-14 14:00:00,-0.3716880441906256,-0.3716880441906256
