"","date","perpetual","future","basis","annual_basis"
"106",2020-12-27,26414.8,27692.9,4.83857534412526,19.8435955124238
"107",2020-12-28,27024.5,28114.7,4.03411718995726,16.7324178901636
"108",2020-12-29,27249.2333333333,28339.8,4.00219211060372,16.7908059812685
"109",2020-12-30,28807.2,29940.8,3.9351273292788,16.7014125021716
"110",2020-12-31,28935.0333333333,29866.2666666667,3.21835928994954,13.820013421548
"111",2021-01-01,29305.5,30254.9666666667,3.23989239790027,14.0781038718286
"112",2021-01-02,31980.4333333333,33299.8333333333,4.12564766164311,18.1429083915631
"113",2021-01-03,33093.1333333333,34709.1666666667,4.88328898039271,21.7365911932114
"114",2021-01-04,31731.1,32987.9666666667,3.96099305308251,17.848919313273
"115",2021-01-05,33952.9666666667,35411.6,4.29604089578819,19.6006865870336
"116",2021-01-06,36551.9333333333,38072.9666666667,4.16129379385315,19.2262308197013
"117",2021-01-07,39224.2666666667,40873.8,4.20538986069846,19.6790679378838
"118",2021-01-08,40673.5666666667,42230.9333333333,3.82894049943984,18.1501724973447
"119",2021-01-09,40106.9666666667,41889.0333333333,4.44328458314391,21.3394588532569
"120",2021-01-10,38265.1666666667,39693.9333333333,3.73385716339052,18.1714381951672
"121",2021-01-11,35142.9,36587.3,4.11007628852488,20.2726735852916
"122",2021-01-12,33844.6333333333,35152.6333333333,3.86471907412204,19.3235953706102
"123",2021-01-13,37317.0666666667,38729.4,3.78468475550062,19.1862491077462
"124",2021-01-14,39076.1333333333,40521.3,3.69833589812707,19.0125718706532
"125",2021-01-15,36679.2666666667,37918.7,3.37911154167023,17.619653038709
"126",2021-01-16,36123.4333333333,37459.1333333333,3.69759980363625,19.5597670772062
"127",2021-01-17,35967.7333333333,37347.5,3.83612348846002,20.5909569601163
"128",2021-01-18,36558.4,38065.7666666667,4.12317461012151,22.4620706372291
"129",2021-01-19,36155.2333333333,37432.5666666667,3.53291409173592,19.5380855073274
"130",2021-01-20,35313.9666666667,36553.1,3.50890440892602,19.7038478347384
"131",2021-01-21,31004.7666666667,31721.2333333333,2.31082747491515,13.1789379428755
"132",2021-01-22,32914.5333333333,33866.3,2.89163044490984,16.7530970220967
"133",2021-01-23,32005.7666666667,32994.7666666667,3.09006814396991,18.1915302024035
"134",2021-01-24,32215.1,33175.6666666667,2.98172803023012,17.8414873939999
"135",2021-01-25,32370.9333333333,33221.2,2.62663624156653,15.9787038028631
"136",2021-01-26,32622.5,33413.5666666667,2.42491123202289,15.0015694862433
"137",2021-01-27,30382.7,30892.3333333333,1.67738000024136,10.5559258635879
"138",2021-01-28,33365.5,34002,1.90765910895985,12.2157118380763
"139",2021-01-29,34202.6333333333,35035.1333333333,2.43402311128093,15.8646149217418
"140",2021-01-30,34330.8333333333,35031.3,2.04034274340363,13.5404563880422
"141",2021-01-31,33097.2333333333,33670.8333333333,1.73307537286601,11.7143057610387
"142",2021-02-01,33574.2333333333,34257.8333333333,2.03608521217165,14.0220962725029
"143",2021-02-02,35542.3,36562.2,2.8695385498406,20.141953282535
"144",2021-02-03,37516.9333333333,38648.3,3.01561605959263,21.5823502304179
"145",2021-02-04,37053.7333333333,38260.1666666667,3.25590223927054,23.7680863466749
"146",2021-02-05,38125.7333333333,39294,3.0642470702203,22.8255138904165
"147",2021-02-06,39412.9,40856.6,3.6630138863164,27.8541680938643
"148",2021-02-07,38866.7333333333,39921.8,2.71457510364474,21.0812747410709
"149",2021-02-08,45918.8666666667,47612.8333333333,3.68904284803779,29.2717530333433
"150",2021-02-09,46490.9333333333,48081.9,3.42210094011164,27.7570409586833
"151",2021-02-10,44977.8666666667,46526.1,3.44221157665697,28.5547096699953
"152",2021-02-11,47880.8,49601,3.59267180164075,30.4959350604389
"153",2021-02-12,47441.2,49308.3333333333,3.93567897383146,34.2029244154401
"154",2021-02-13,47154.0666666667,48929,3.76411507809152,33.5098049634977
"155",2021-02-14,48727,50508.0333333333,3.65512617918881,33.3530263850979
"156",2021-02-15,48051.2,49806.3,3.65256226691527,34.1842366006173
"157",2021-02-16,49119.6333333333,50818.5333333333,3.45869845662529,33.2217088596903
"158",2021-02-17,52154.0333333333,54244.6,4.0084467740111,39.542785743623
"159",2021-02-18,51660.8,53415.2666666667,3.39612756029072,34.4329599862809
"160",2021-02-19,55724.3666666667,57649.8333333333,3.45534060204664,36.0342662784863
"161",2021-02-20,55796.8333333333,57264.4333333333,2.63025679474043,28.2365802964781
"162",2021-02-21,57352.7333333333,59147.8666666667,3.12998741123641,34.6195577303422
"163",2021-02-22,53911.9,55059.2666666667,2.12822524649783,24.2750692178658
